date,power,industry,ground_transport,residential,domestic_aviation,international_aviation,all_sectors
1/1/2019,36.8332,25.4477,14.1566,18.3833,0.835247,1.485,97.141047
1/2/2019,39.1125,26.9663,15.6887,18.7947,0.974611,1.62415,103.160961
1/3/2019,39.7868,27.2615,17.3509,18.5517,1.01228,1.66784,105.63102
1/4/2019,40.4257,28.0069,17.3865,18.3949,0.998781,1.68985,106.902631
1/5/2019,39.1776,27.0486,16.1779,17.6249,0.917965,1.73837,102.685335
1/6/2019,38.3948,26.6486,13.9932,17.3566,0.919099,1.76761,99.079909
1/7/2019,40.1861,27.6305,17.0847,17.5793,0.95893,1.64871,105.08824
1/8/2019,40.4672,27.8882,17.7928,17.7214,0.96854,1.56415,106.40229
1/9/2019,41.3427,28.2889,17.9273,18.7396,0.95489,1.5599,108.81329
1/10/2019,42.7908,29.1074,18.2247,19.4578,1.04365,1.68758,112.31193
1/11/2019,42.9388,28.6394,17.8779,19.046,0.823884,1.51941,110.845394
1/12/2019,40.6496,27.5072,16.5796,18.2933,0.86983,1.66934,105.56887
1/13/2019,38.8112,26.4934,14.8326,17.4016,0.841206,1.67823,100.058236
1/14/2019,41.4188,28.0697,17.9986,17.6552,0.939222,1.59553,107.677052
1/15/2019,42.3796,28.6555,18.4126,18.6424,0.951329,1.51019,110.551619
1/16/2019,42.5581,28.674,18.6184,18.4377,0.831289,1.32251,110.441999
1/17/2019,42.7069,28.8196,18.5897,18.0231,0.981338,1.56588,110.686518
1/18/2019,42.3825,28.7787,18.3768,18.0984,1.00679,1.63438,110.27757
1/19/2019,40.9434,27.5361,17.1441,18.2158,0.870856,1.65808,106.368336
1/20/2019,40.2626,27.0241,15.4372,18.9757,0.808741,1.65341,104.161751
1/21/2019,42.2879,28.2246,17.9794,19.9217,0.917852,1.5965,110.927952
1/22/2019,42.2576,28.0417,18.6294,19.3802,0.96576,1.51806,110.79272
1/23/2019,42.1735,28.4206,18.7987,18.0881,0.952979,1.53795,109.971829
1/24/2019,41.626,27.858,19.0117,17.5681,0.99092,1.57229,108.62701
1/25/2019,40.8701,27.1792,18.5226,18.409,1.00679,1.64149,107.62918
1/26/2019,38.1527,25.7499,17.2105,18.2194,0.889391,1.64953,101.871421
1/27/2019,36.043,24.3423,15.7736,17.5722,0.872721,1.70918,96.313001
1/28/2019,38.3193,25.788,18.3287,17.7319,0.822013,1.4357,102.425613
1/29/2019,39.3323,26.1689,18.6372,18.2182,0.950502,1.50652,104.813622
1/30/2019,39.3421,26.148,18.5898,19.0191,0.950019,1.51829,105.567309
1/31/2019,39.1335,25.9598,18.7303,19.3069,0.98188,1.57902,105.6914
2/1/2019,38.681,25.9368,18.3816,18.2503,1.02052,1.64928,103.9195
2/2/2019,36.3142,24.6871,17.0679,16.8853,0.913555,1.67325,97.541305
2/3/2019,34.4515,23.6443,15.6274,16.3828,0.866576,1.66436,92.636936
2/4/2019,35.8037,24.6325,18.4429,16.2103,0.922924,1.58525,97.597574
2/5/2019,36.7965,25.2283,18.5428,16.0967,0.973381,1.50502,99.142701
2/6/2019,37.2889,25.5006,18.7672,16.3544,0.969134,1.50817,100.388404
2/7/2019,36.7309,25.4747,19.0149,16.9887,0.996843,1.54475,100.750793
2/8/2019,36.769,25.14,18.5513,17.6809,1.0215,1.60551,100.76821
2/9/2019,35.6463,24.2563,17.208,18.6061,0.901096,1.6426,98.260396
2/10/2019,35.1244,23.9825,15.8514,18.2101,0.881857,1.65107,95.701327
2/11/2019,37.5221,25.8467,18.6957,17.2924,0.970505,1.57157,101.898975
2/12/2019,38.2718,26.042,18.815,16.8771,0.953144,1.49443,102.453474
2/13/2019,38.433,26.3222,18.8898,16.7809,0.977106,1.48735,102.890356
2/14/2019,39.0124,27.1986,19.2367,16.2236,1.02089,1.58429,104.27648
2/15/2019,39.3561,27.1764,18.8845,15.7855,1.0528,1.65439,103.90969
2/16/2019,38.2189,26.329,17.2838,16.3392,0.928299,1.69126,100.790459
2/17/2019,37.4027,25.9854,15.5856,16.756,0.86958,1.69296,98.29224
2/18/2019,40.0622,27.5645,18.0078,16.6212,0.972184,1.61006,104.837944
2/19/2019,41.7817,28.3755,18.4637,16.7603,1.00393,1.53826,107.92339
2/20/2019,42.0636,28.5538,18.8329,16.3713,0.973688,1.53476,108.330048
2/21/2019,42.0374,28.8235,18.9637,15.536,1.01694,1.5871,107.96464
2/22/2019,41.5343,28.2773,18.5412,15.4089,1.034,1.65981,106.45551
2/23/2019,39.4017,27.149,17.0668,15.7563,0.921913,1.69554,101.991253
2/24/2019,38.6575,26.8621,15.3893,15.1811,0.901595,1.71578,98.707375
2/25/2019,41.1336,28.4288,18.3991,15.0955,0.972537,1.61977,105.649307
2/26/2019,40.9672,28.1376,18.6507,15.1484,1.00424,1.54884,105.45698
2/27/2019,41.5659,28.5393,18.6841,15.2243,1.01428,1.55112,106.579
2/28/2019,41.2349,28.3223,18.5025,15.3923,1.03628,1.60078,106.08906
3/1/2019,39.7693,31.2596,18.1868,14.71,1.00348,1.63988,106.56906
3/2/2019,38.2474,30.187,16.8781,14.6262,0.89568,1.67869,102.51307
3/3/2019,36.8604,29.1995,15.1759,14.0004,0.874325,1.69084,97.801365
3/4/2019,39.1848,30.5103,17.9587,14.2823,0.930333,1.59375,104.460183
3/5/2019,38.7172,30.0687,18.0882,14.5514,0.961287,1.54474,103.931527
3/6/2019,38.5038,29.8865,18.2981,14.2363,0.984567,1.552,103.461267
3/7/2019,38.0127,29.6299,18.4955,14.0462,0.997132,1.58567,102.767102
3/8/2019,37.6348,29.2868,18.4399,13.5897,1.00688,1.65308,101.61116
3/9/2019,35.9872,28.5438,17.0622,12.8257,0.901576,1.68509,97.005566
3/10/2019,35.1623,28.1661,15.4785,12.3263,0.927636,1.70767,93.768506
3/11/2019,37.1731,29.5943,18.3279,12.3476,0.978283,1.62302,100.044203
3/12/2019,36.4924,28.7933,18.5904,12.4778,0.981968,1.5473,98.883168
3/13/2019,36.1943,28.6008,18.5461,12.0883,0.977585,1.54607,97.953155
3/14/2019,36.3084,28.9379,18.8137,11.5916,0.986857,1.59472,98.233177
3/15/2019,35.9138,28.5872,18.767,11.2768,1.02454,1.65771,97.22705
3/16/2019,35.0448,27.7263,17.2433,11.5918,0.918448,1.69614,94.220788
3/17/2019,34.3207,27.3899,15.8753,11.7664,0.913062,1.69442,91.959782
3/18/2019,36.4186,28.8523,18.7186,11.8335,0.968985,1.61478,98.406765
3/19/2019,37.2121,29.4769,18.8673,11.5736,0.978934,1.54292,99.651754
3/20/2019,37.4863,29.7161,18.5884,11.3906,0.994765,1.56322,99.739385
3/21/2019,36.5328,29.1542,18.2576,11.607,1.00551,1.60686,98.16397
3/22/2019,36.4557,29.0395,18.8837,11.7255,1.0134,1.66223,98.78003
3/23/2019,35.4571,28.3602,17.4141,11.9442,0.911846,1.68794,95.775386
3/24/2019,34.361,27.5088,15.9165,11.3222,0.913878,1.70353,91.725908
3/25/2019,36.3301,29.0608,19.1429,11.0523,0.955952,1.65824,98.200292
3/26/2019,36.6335,29.1539,19.29,11.3269,0.884877,1.49027,98.779447
3/27/2019,36.9255,29.4711,19.1313,10.9473,1.00001,1.56655,99.04176
3/28/2019,37.0581,29.605,19.2856,10.7865,1.01839,1.62958,99.38317
3/29/2019,36.5119,29.1574,18.9624,10.3534,1.02153,1.67034,97.67697
3/30/2019,35.0122,27.8859,17.6814,10.3472,0.910905,1.69217,93.529775
3/31/2019,33.9648,27.68,16.2717,11.251,0.922527,1.7323,91.822327
4/1/2019,36.3314,31.2494,18.8061,11.6166,0.988517,1.67821,100.670227
4/2/2019,36.9948,31.4107,19.0118,10.8739,1.00777,1.63815,100.93712
4/3/2019,36.4204,30.8999,18.8824,10.3147,1.01507,1.6575,99.18997
4/4/2019,36.7079,31.2871,19.1016,9.90856,1.02672,1.68728,99.71916
4/5/2019,36.3794,30.8884,18.7931,9.59821,1.02839,1.72109,98.40859
4/6/2019,34.4596,29.5332,17.4601,9.03542,0.902656,1.73242,93.123396
4/7/2019,33.3904,28.8988,15.8523,8.40883,0.913189,1.75874,89.222259
4/8/2019,36.177,30.8648,18.748,8.40197,0.98936,1.6745,96.85563
4/9/2019,36.2619,30.857,19.0866,9.16884,1.00757,1.64643,98.02834
4/10/2019,36.808,31.6214,18.8964,9.93538,1.05828,1.91965,100.23911
4/11/2019,37.2254,32.0916,18.9951,9.98379,0.673178,1.21011,100.179178
4/12/2019,37.143,31.7552,18.1933,9.65295,1.0428,1.74437,99.53162
4/13/2019,35.6539,30.5251,17.4798,9.3474,0.916468,1.7991,95.721768
4/14/2019,34.4501,29.6813,15.6828,9.52208,0.894802,1.78405,92.015132
4/15/2019,35.4866,30.3602,18.0758,9.01502,0.987948,1.69752,95.623088
