country,year,iso_code,population,gdp,co2,cumulative_co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,share_global_co2,share_global_cumulative_co2,temperature_change_from_co2,trade_co2,trade_co2_share,coal_co2,coal_co2_per_capita,cumulative_coal_co2,share_global_coal_co2,share_global_cumulative_coal_co2,coal rents value added (%GDP),cement_co2,cement_co2_per_capita,cumulative_cement_co2,share_global_cement_co2,share_global_cumulative_cement_co2,"Indus_(incl. constr), value added (annual % growth)",co2 from manu indus constr (% of total fuel combustion),"Manu, value added (current US$)","Industry (including constr), value added (% of GDP)",Manu value added (%GDP),cumulative_gas_co2,gas_co2,gas_co2_per_capita,ch4_per_capita,ch4_methane,share_global_gas_co2,temperature_change_from_ch4,share_global_cumulative_gas_co2,Natural gas rents value added (%GDP),cumulative_oil_co2,oil_co2,oil_co2_per_capita,share_global_cumulative_oil_co2,share_global_oil_co2,oil rents value added (%GDP),cumulative_other_co2,other_co2_per_capita,other_industry_co2,share_global_cumulative_other_co2,share_global_other_co2,other_Industry value added(%GDP)
Saudi Arabia,1964,SAU,4795133,41424949248,7.041,164.052,0.102,1.475,1.468,0.17,0.065,0.047,0,,,0,0,0,0,0,,0.127,0.027,0.447,0.062,0.016,,,,,,1.293,1.238,0.258,,,0.107,0.001,0.009,,162.312,5.676,1.184,0.246,0.138,,,,,,,
Saudi Arabia,1965,SAU,4978924,46439223296,4.216,168.268,-2.825,-40.12,0.847,0.091,0.037,0.047,0,,,0,0,0,0,0,,0.124,0.025,0.571,0.057,0.019,,,,,,3.268,1.975,0.397,,,0.16,0.001,0.02,,164.429,2.118,0.425,0.233,0.048,,,,,,,
Saudi Arabia,1966,SAU,5173240,53195042816,6.407,174.676,2.191,51.967,1.239,0.12,0.054,0.047,0,,,0,0,0,0,0,,0.124,0.024,0.694,0.053,0.022,,,,,,5.445,2.176,0.421,,,0.162,0.001,0.031,,168.537,4.107,0.794,0.224,0.086,,,,,,,
Saudi Arabia,1967,SAU,5381032,57878675456,25.485,200.161,19.078,297.755,4.736,0.44,0.208,0.052,0,,,0,0,0,0,0,,0.16,0.03,0.854,0.067,0.025,,,,,,7.625,2.18,0.405,,,0.152,0,0.04,,172.999,4.463,0.829,0.216,0.088,,,,,,,
Saudi Arabia,1968,SAU,5604583,63038984192,29.079,229.24,3.594,14.101,5.188,0.461,0.225,0.058,0,,,0,0,0,0,0,,0.251,0.045,1.105,0.098,0.03,,,324444444.2,62.0429848,7.74741323,10.772,3.147,0.562,,,0.202,0,0.053,,178.432,5.433,0.969,0.208,0.098,,,,,,,62.0429848
Saudi Arabia,1969,SAU,5844855,67871506432,35.271,264.511,6.192,21.293,6.035,0.52,0.256,0.065,0,,,0,0,0,0,0,,0.291,0.05,1.396,0.107,0.035,,,345777777.5,61.11166336,7.708312921,14.121,3.349,0.573,,,0.196,0,0.064,,186.471,8.039,1.375,0.203,0.134,,,,,,,61.11166336
Saudi Arabia,1970,SAU,6106192,74243293184,45.251,309.762,9.98,28.296,7.411,0.61,0.304,0.073,0,,,0,0,0,0,0,,0.334,0.055,1.73,0.116,0.041,,,441883474.7,58.26988405,8.217619158,14.121,0,0,,,0,0,0.059,0.177717023,202.859,16.388,2.684,0.206,0.241,25.43888069,,,,,,58.26988405
Saudi Arabia,1971,SAU,6396665,84937220096,59.757,369.519,14.505,32.055,9.342,0.704,0.385,0.084,0,,,0,0,0,0,0,0,0.349,0.054,2.078,0.115,0.046,15.54853986,15.54853986,487157034,65.32691129,6.780368794,14.124,0.004,0.001,,,0,0,0.055,0.107453704,223.993,21.134,3.304,0.212,0.293,29.61008376,,,,,,65.32691129
Saudi Arabia,1972,SAU,6724259,97984577536,70.282,439.801,10.525,17.613,10.452,0.717,0.433,0.096,0,,,0,0,0,0,0,0,0.475,0.071,2.554,0.148,0.052,15.9611381,15.9611381,575003372.3,67.28646586,5.949843117,14.667,0.542,0.081,,,0.026,0.001,0.053,0.107596436,241.209,17.216,2.56,0.212,0.222,36.3557374,,,,,,67.28646586
Saudi Arabia,1973,SAU,7088765,1.17E+11,95.054,534.854,24.772,35.247,13.409,0.81,0.556,0.113,0,,,0,0,0,0,0,0,0.475,0.067,3.028,0.139,0.058,20.89977221,20.89977221,784605193,69.69884553,5.249060662,15.612,0.945,0.133,,,0.043,0.001,0.052,0.0827593,261.761,20.551,2.899,0.215,0.25,43.18800695,,,,,,69.69884553
